,,,,,,,,,,,
Quality Score,Url To Content Or Screenshot,Creator,Team,Content Source Of Contact,Owner,Platform,Placement Type,Primary Communication,Publish Date,Product,Content Id
5,https://drive.google.com/file/d/1k2llyf5k9ikvzxZf_6U0H_ld1pdaSLSl/view?usp=drive_link,Gala,PR Germany team,PR Agency,Anna-Maria Kroplin,TV,TV Show,Education - Benefits from using a product,2/22/2025,FAQ 202,259197
,,,,,,,,,,FAQ 221,259197
,,,,,,,,,,FAQ211,259197
,https://drive.google.com/file/d/1_2N5O-a1bv5DravvtpzllMm8oFZXpuCV/view?usp=sharing,In your Face,PR Nordics team,Direct/Internal,Emmanuelle Boman,Radio,Podcast,Professional treatment at home,2/21/2025,FAQ 102,258172
,,,,,,,,,,FAQ 202,258172
,,,,,,,,,,FAQ Brand Image,258172
,https://drive.google.com/file/d/1smusUHs-BACSIM7tIwJeJUWRAtBJE_lQ/view?usp=sharing,Daisy Beauty,PR Nordics team,Direct/Internal,Emmanuelle Boman,Print,PR: product placement,Education - Comprehensive,6/18/2025,FAQ 221,265944
,https://drive.google.com/file/d/1mZSu1muJH5g6p45YuGObtiffHvli76NC/view?usp=sharing,Gloss.si,PR Croatia team,Direct/Internal,Stella Crnobrnja,Print,PR: story,Innovation powerhouse,3/1/2025,FAQ 202,259539
,,,,,,,,,,FAQ 221,259539
,https://drive.google.com/file/d/18WRmK28Wpmqk0o-8J3HHwMyLehVUNuYj/view?usp=drive_link,elle.metropolitan.si,PR Slovenia team,Direct/Internal,Stella Crnobrnja,Print,PR: story,Education - Comprehensive,4/29/2025,FAQ Brand Image,263036
,,,,,,,,,,FAQ P1,263036
,https://www.standard.co.uk/shopping/esbest/beauty/tools-accessories/foreo-peach-2-pro-max-review-b1223594.html,The London Standard,PR UK team,Black&White,Vanja Gudelj,Online Publisher,PR: product placement,Education - Product features,5/13/2025,PEACH 2 Pro Max,265395
,https://drive.google.com/file/d/12gJrCwtOts0Pt5nWFQHnc9OpuLcpUEpK/view,Vogue FRA,PR France team,PR Agency,Agathe Donat,Online Publisher,PR: product placement,Skincare ritual essential,3/4/2025,FAQ 201,266606
,"https://www.cosmopolitan.fr/plus-efficace-qu-un-masque-en-tissu-cet-appareil-foreo-hydrate-et-rajeunit-la-peau-instantanement,2131753.asp",Cosmopolitan France,PR France team,PR Agency,Agathe Donat,Online Publisher,PR: product placement,Skincare ritual essential,5/25/2025,UFO 3,264887
,,,,,,,,,,,264888
,https://www.vogue.es/belleza/branded/el-diario-de-belleza-de-violeta-mangrinan-foreo-es-como-si-te-cuento-que-me-gusta-el-matcha-lo-uso-cada-dia-y-forma-parte-de-mi,VOGUE España,PR Spain team,PR Agency,Sara Riballo,Online Publisher,PR: story,Celebrity seal of approval,4/24/2025,FAQ 202,263581
,https://feminity.zoznam.sk/c/919427/test-tri-kroky-ktore-zeny-v-ramci-beauty-rutiny-preskakuju-odhalia-pritom-nas-skutocny-vek-a-mladost,Feminity.sk,PR Slovakia team,Direct/Internal,Sarka Niklova,Online Publisher,PR: story,Beauty-tech – the future of beauty,3/6/2025,FAQ 202,262298
,,,,,,,,,,FAQ 221,262298
,,,,,,,,,,FAQ Brand Image,262298
,,,,,,,,,,FAQ211,262298
,https://www.harpersbazaar.com/it/bellezza/skincare/a64275014/maschera-led-piu-venduta-su-amazon-offerte-primavera-2025/,harpersbazaar.com/it,PR Italy team,PR Agency,Julija Julka Varga,Online Publisher,PR: product placement,Smart technologies for visible results,3/26/2025,FAQ 202,261139
,https://www.beaute-test.com/mag/ce-nouvel-appareil-est-une-arme-secrete-pour-des-cheveux-eclatants-et-voici-pourquoi-il-fait-le-buzz.php,Beauté Test FR,PR France team,PR Agency,Agathe Donat,Online Publisher,PR: product placement,Hair Care Routine,1/8/2025,LUNA 4 hair,256300
,https://miss7.24sata.hr/beauty/isprobali-smo-faq-202-led-masku-za-lice-nakon-koje-vise-nista-nije-isto-55751,24sata/miss7,PR Croatia team,Direct/Internal,Stella Crnobrnja,Online Publisher,PR: story,"Media, Awards seal of approval",6/24/2025,FAQ 202,266600
,https://elle.metropolitan.si/lifestyle/odkrivamo-skrivnost-do-sijoce-koze-v-samo-treh-tednih/,elle.metropolitan.si,PR Slovenia team,Direct/Internal,Stella Crnobrnja,Online Publisher,PR: product placement,"Media, Awards seal of approval",5/21/2025,FAQ 402,264871
,,,,,,,,,,,
4,https://www.today.com/video/tools-and-devices-to-help-clear-tighten-brighten-your-skin-243323973951,Lifestyle Today Show,PR US team,Cate Charney,Vanja Gudelj,TV,Talk show,Investment skincare,7/16/2025,ISSA 3,267742
,https://www.thedrewbarrymoreshow.com/videos/audience-member-tries-skincare-challenge-to-win-amazing-prizes,The Drew Barrymore Show,PR US team,Cate Charney,Vanja Gudelj,TV,Talk show,Celebrity seal of approval,2/25/2025,LUNA 4,258572
,https://directo.intereconomia.com/#!!/programas/a-media-sesion-foreo-exact-y-michelin-27-01-2025/,Intereconomía,PR Spain team,Direct/Internal,Sara Riballo,Radio,Talk show,Innovation powerhouse,1/27/2025,FAQ 202,256344
,,,,,,,,,,FAQ 221,256344
,,,,,,,,,,FAQ211,256344
,https://www.intereconomia.com/programas/foreo-el-perfecto-aliado-para-cuidar-la-piel-en-verano/,Intereconomía,PR Spain team,Direct/Internal,Sara Riballo,Radio,Talk show,Skincare ritual essential,8/25/2025,FAQ 202,269920
,,,,,,,,,,LUNA 4,269921
,,,,,,,,,,SUPERCHARGED collection,269921
,,,,,,,,,,UFO 3,269921
,https://play.pod.space/sv/skildavarldar/61-brak-pa-klassatertraffen-darfor-knarkar-man,Skilda världar Podcast,PR Nordics team,Direct/Internal,Emmanuelle Boman,Radio,Podcast,Celebrity seal of approval,5/18/2025,FOREO Brand Image,264275
,,,,,,,,,,UFO,264275
,,,,,,,,Professional treatment at home,5/18/2025,FAQ 201,264277
,https://drive.google.com/file/d/15edUO1Hxf14OViEI9qvgZJDlEQ2YGdzs/view,Women's Shine,PR Turkey team,PR Agency,Ceren Altan,Print,PR: product placement,New product on the market,3/1/2025,FAQ 202,261269
,,,,,,,,,,FAQ Glass Skin Collagen mask,261269
,https://www.dropbox.com/scl/fi/dmjpvd4pisowzjtukju5s/INSTYLE-01-05-2025-PAG-110_d07b9a7f-d729-42a3-bc91-a06ee83b074a_110.jpg?rlkey=nw6mr8p5tl1iawp8r0hh3mqxw&e=1&st=a20qvwxu&dl=0,INSTYLE España,PR Spain team,PR Agency,Sara Riballo,Print,PR: product placement,Great gift (to give to someone),5/1/2025,BEAR 2,263621
,https://www.dropbox.com/scl/fi/m2hexx0b1s0xnqg9fa5bv/MARIE-CLAIRE-01-01-2025-PAG-82_450d10c5-d25e-4817-b1ac-5ea2779e360d_82.jpg?rlkey=bo58zupesbo74o5r1s0o3rc8e&e=1&st=3g73uxal&dl=0,Marie Claire España,PR Spain team,PR Agency,Sara Riballo,Print,PR: product placement,Great gift (to give to someone),1/1/2025,LUNA 4 go,254980
,https://drive.google.com/file/d/1-cz17c4CneGy7aO741A8l_UMsUxrUyig/view?usp=drive_link,Vogue UK,PR UK team,Black&White,Vanja Gudelj,Print,PR: product placement,Professional treatment at home,4/1/2025,BEAR 2 eyes & lips,261588
,https://www.dropbox.com/scl/fi/suzfcp4kpbcxegue8uoxq/DIEZ-MINUTOS-12-02-2025-PAG-75_61d6d39d-d80c-4b4c-9a3f-baf4f0d3ff92_75.jpg?rlkey=q3lsyjumw0k8x98sqng2azetb&e=1&st=3p7ikb00&dl=0,DIEZ MINUTOS_ES_FOREO,PR Spain team,PR Agency,Sara Riballo,Print,PR: product placement,Skincare ritual essential,2/1/2025,IRIS C-Concentrated Eye Cream,257164
,,,,,,,,,,IRIS Hydrogel Eye Mask,257164
,,,,,,,,,,SUPERCHARGED Barrier Restoring Essence Mist,257164
,,,,,,,,,,SUPERCHARGED Moisturizer,257164
,,,,,,,,,,UFO 3,257164
,https://www.dropbox.com/scl/fi/ojg0e88wbmkz5dkfntts3/ELLE-01-01-2025-PAG-58_21f225ae-4345-460c-9a57-945092fe6c59_58.jpg?rlkey=3dnbr51nz5n1byk8fa46zssv0&e=1&st=m8ut8rum&dl=0,ELLE España,PR Spain team,Direct/Internal,Sara Riballo,Print,PR: product placement,Innovation powerhouse,1/1/2025,FAQ 221,254983
,https://www.bezzia.com/cepillo-de-limpieza-facial-moda-pasajera-o-imprescindible-en-tu-rutina-de-belleza/,bezzia.com,PR Spain team,PR Agency,Sara Riballo,Blog,Post,Skincare ritual essential,1/11/2025,LUNA 3,255713
,https://www.zenskirecenziraj.com/hr/luxe/luksuzni-beauty-gadgeti-5-must-have-uredaja-za-njegu-koze-i-kose-u-2025-godini/,Zenski Recenziraj,PR Croatia team,Organic,Stella Crnobrnja,Blog,Post,"Media, Awards seal of approval",2/11/2025,LUNA 4,257868
,https://www.lavanguardia.com/comprar/rebajas-ofertas/20250325/10514709/fiesta-ofertas-primavera-amazon-foreo-mkt-fore.html,La Vanguardia,PR Spain team,PR Agency,Vanja Gudelj,Online Publisher,PR: product placement,Skincare ritual essential,3/25/2025,FAQ 202,260866
,,,,,,,,,3/29/2025,FAQ 202,261044
,,LAVANGUARDIA_ES_FOREO,PR Spain team,PR Agency,Sara Riballo,Online Publisher,Article,Sales support: Retailer,3/25/2025,BEAR 2 body,260865
,,,,,,,,,,BEAR 2 eyes & lips,260865
,,,,,,,,,,BEAR mini,260865
,,,,,,,,,,KIWI,260865
,,,,,,,,,,LUNA 4,260865
,,,,,,,,,,LUNA 4 plus,260865
,,,,,,,,,,UFO 2,260865
,,,,,,,,Skincare ritual essential,3/29/2025,BEAR 2 body,261043
,,,,,,,,,,BEAR 2 eyes & lips,261043
,,,,,,,,,,BEAR mini,261043
,,,,,,,,,,KIWI,261043
,,,,,,,,,,LUNA 4,261043
,,,,,,,,,,LUNA 4 plus,261043
,,,,,,,,,,UFO 2,261043
,https://www.harpersbazaar.com/uk/beauty/a65111678/gadget-awards-2025/,Harper's Bazaar UK,PR UK team,Black&White,Vanja Gudelj,Online Publisher,PR: product placement,"Media, Awards seal of approval",5/20/2025,FAQ211,266630
,,harpersbazaar.com,PR UK team,Black&White,Vanja Gudelj,Online Publisher,PR: product placement,"Media, Awards seal of approval",6/20/2025,PEACH 2,266632
,https://www.glamour.de/beauty/artikel/led-maske-shoppen,Glamour.de,PR Germany team,PR Agency,Anna-Maria Kroplin,Online Publisher,PR: product placement,Education - Product features,1/16/2025,FAQ-201,255650
,,,,,,,,,,FAQ-211,255650
,,,,,,,,,,UFO 3,255650
,,,,,,,,,3/3/2025,FAQ-201,258999
,,,,,,,,,,FAQ-211,258999
,,,,,,,,,,UFO 3,258999
,,,,,,,,,5/13/2025,FAQ-201,264424
,,,,,,,,,,FAQ-211,264424
,,,,,,,,,,UFO 3,264424
,,,,,,,,,6/30/2025,FAQ-201,267118
,,,,,,,,,,FAQ-211,267118
,,,,,,,,,,UFO 3,267118
,https://www.harpersbazaar.com/it/bellezza/capelli/g64253210/dispositivi-crescita-capelli/,harpersbazaar.com/it,PR Italy team,PR Agency,Julija Julka Varga,Online Publisher,PR: product placement,Hair Care Routine,4/29/2025,FAQ 301,264237
,,,,,,,,,,LUNA 4 hair,264236
,,,,,,,,,5/5/2025,LUNA 4 hair,265454
,https://www.glamour.com/story/best-face-massagers,Glamour.com,PR US team,Cate Charney,Vanja Gudelj,Online Publisher,PR: product placement,Education - Benefits from using a product,6/3/2025,LUNA 4,265363
,https://www.ok.co.uk/lifestyle/beauty/georgia-toffolos-skin-changing-led-34943890.amp,OK! Magazine,PR UK team,Black&White,Vanja Gudelj,Online Publisher,PR: product placement,Sales support: Retailer,3/28/2025,FAQ 202,260960
,https://www.womanandhome.com/beauty/skincare/best-red-light-therapy-device/,womanandhome.co.uk,PR UK team,Black&White,Global PR Team,Online Publisher,PR: product placement,Education - Product features,7/10/2025,UFO 2,270022
,https://www.vogue.es/compras/galerias/accesorios-tecnologicos-vida-facil,VOGUE España,PR Spain team,PR Agency,Sara Riballo,Online Publisher,Article,Innovation powerhouse,1/21/2025,FAQ-202,256333
,,,,,,,,,,LUNA play smart 2,256333
