date,source,medium,new_users,sessions,engaged_sessions,engagement_rate,transactions,total_revenue
2025-01-01,google,cpc,272,387,212,0.55,20,4631.02
2025-01-01,email,newsletter,248,340,229,0.68,13,3043.75
2025-01-01,tiktok,social,160,239,138,0.58,12,2901.81
2025-01-01,direct,(none),134,195,131,0.67,9,2472.05
2025-01-01,google,organic,36,48,24,0.51,2,444.57
2025-01-01,instagram,social,270,354,205,0.58,16,3178.11
2025-01-01,tiktok,social,167,225,124,0.56,9,2372.7
2025-01-01,direct,(none),239,300,208,0.7,14,3547.95
2025-01-02,tiktok,social,154,227,115,0.51,11,2499.95
2025-01-02,tiktok,social,234,330,222,0.67,14,3043.6
2025-01-02,direct,(none),92,124,81,0.66,4,912.3
2025-01-02,instagram,social,106,129,68,0.53,5,1203.11
2025-01-02,instagram,social,231,311,210,0.68,15,3693.41
2025-01-02,email,newsletter,208,275,165,0.6,13,2616.75
2025-01-02,tiktok,social,227,308,162,0.53,16,4332.57
2025-01-02,google,organic,197,290,183,0.63,14,3843.98
2025-01-02,direct,(none),85,106,56,0.53,4,1046.85
2025-01-02,google,cpc,267,387,204,0.53,20,5032.47
2025-01-02,tiktok,social,172,213,123,0.58,8,2250.1
2025-01-02,direct,(none),83,107,56,0.53,5,1278.47
2025-01-02,google,organic,210,260,134,0.52,10,2158.74
2025-01-03,google,cpc,159,237,135,0.57,6,1336.52
2025-01-03,email,newsletter,44,58,30,0.53,2,513.42
2025-01-03,google,cpc,132,191,133,0.7,6,1334.49
2025-01-03,tiktok,social,195,277,158,0.57,7,1769.11
2025-01-03,direct,(none),191,232,126,0.54,7,1897.06
2025-01-03,instagram,social,89,122,61,0.5,4,887.64
2025-01-03,google,cpc,162,220,139,0.63,8,1787.83
2025-01-03,email,newsletter,158,207,137,0.67,6,1503.03
2025-01-03,direct,(none),74,109,63,0.58,2,557.76
2025-01-04,google,cpc,246,355,190,0.54,22,4956.66
2025-01-04,direct,(none),154,197,113,0.57,9,2135.46
2025-01-04,google,cpc,250,326,190,0.58,19,3983.82
2025-01-04,email,newsletter,200,259,177,0.68,16,3237.33
2025-01-04,tiktok,social,303,393,200,0.51,18,4379.45
2025-01-04,tiktok,social,74,107,66,0.62,5,1099.08
2025-01-04,google,organic,178,218,130,0.6,13,3135.14
2025-01-04,direct,(none),270,352,208,0.59,20,4681.3
2025-01-05,tiktok,social,149,222,126,0.57,8,2193.89
2025-01-05,direct,(none),197,251,166,0.66,11,3010.9
2025-01-05,email,newsletter,235,304,179,0.59,12,3341.11
2025-01-05,google,organic,156,214,124,0.58,8,2175.07
2025-01-05,google,cpc,206,296,165,0.56,10,2301.11
2025-01-05,instagram,social,43,55,38,0.7,2,512.4
2025-01-05,tiktok,social,227,293,158,0.54,9,2043.5
2025-01-05,tiktok,social,34,45,23,0.52,1,215.32
2025-01-05,tiktok,social,153,214,138,0.65,8,2245.73
2025-01-05,direct,(none),197,262,145,0.55,12,3196.43
2025-01-06,google,cpc,80,105,52,0.5,2,577.94
2025-01-06,google,cpc,124,167,107,0.64,7,1904.69
2025-01-06,google,cpc,137,194,120,0.62,6,1696.66
2025-01-06,tiktok,social,107,142,80,0.57,4,1022.58
2025-01-06,direct,(none),74,94,60,0.64,2,613.65
2025-01-06,google,cpc,78,101,59,0.59,3,893.65
2025-01-06,direct,(none),59,77,53,0.69,2,588.48
2025-01-07,instagram,social,156,225,153,0.68,7,1661.33
2025-01-07,tiktok,social,158,195,120,0.62,8,2177.4
2025-01-07,google,cpc,152,218,135,0.62,10,2878.52
2025-01-07,google,cpc,172,252,149,0.59,7,1803.92
2025-01-07,email,newsletter,137,179,95,0.54,6,1514.88
2025-01-07,email,newsletter,144,211,124,0.59,9,2020.78
2025-01-07,google,cpc,49,69,45,0.66,2,471.12
2025-01-07,instagram,social,44,55,27,0.51,1,233.59
2025-01-07,email,newsletter,65,82,47,0.58,3,789.25
2025-01-08,google,organic,51,66,34,0.52,2,525.95
2025-01-08,direct,(none),135,174,102,0.59,3,717.68
2025-01-08,instagram,social,52,63,42,0.68,2,475.53
2025-01-08,tiktok,social,56,82,57,0.7,1,315.91
2025-01-08,google,organic,111,141,89,0.64,2,512.21
2025-01-08,email,newsletter,125,170,101,0.6,2,514.24
2025-01-08,tiktok,social,68,99,58,0.59,2,599.16
2025-01-08,instagram,social,133,161,102,0.63,3,697.29
2025-01-08,google,cpc,118,146,79,0.54,5,1191.24
2025-01-08,google,organic,105,136,94,0.7,4,942.22
2025-01-08,google,organic,51,72,41,0.57,1,257.85
2025-01-09,instagram,social,267,367,240,0.66,14,3880.6
2025-01-09,email,newsletter,218,282,170,0.6,15,4047.08
2025-01-09,google,cpc,250,304,208,0.69,13,3565.18
2025-01-09,google,cpc,220,313,195,0.62,12,2594.08
2025-01-09,instagram,social,71,89,53,0.6,3,649.5
2025-01-09,tiktok,social,72,91,56,0.62,4,958.54
2025-01-10,google,cpc,39,48,27,0.57,1,267.7
2025-01-10,google,organic,145,184,93,0.51,4,1194.32
2025-01-10,email,newsletter,89,116,68,0.59,3,785.04
2025-01-10,direct,(none),54,65,35,0.55,1,260.56
2025-01-10,direct,(none),48,69,48,0.7,2,562.3
2025-01-10,direct,(none),122,160,102,0.64,6,1530.89
2025-01-11,google,organic,43,54,37,0.7,2,416.06
2025-01-11,google,cpc,268,379,255,0.67,22,4725.02
2025-01-11,email,newsletter,260,344,177,0.52,16,3065.4
2025-01-11,tiktok,social,239,345,181,0.53,19,4103.69
2025-01-11,instagram,social,82,116,73,0.64,6,1622.53
2025-01-11,direct,(none),41,54,35,0.66,2,516.9
2025-01-11,google,cpc,172,246,157,0.64,10,2068.53
2025-01-11,google,cpc,231,291,150,0.52,14,2855.23
2025-01-12,instagram,social,53,77,51,0.67,3,805.15
2025-01-12,tiktok,social,157,211,123,0.59,9,1984.81
2025-01-12,instagram,social,215,270,160,0.59,13,3232.85
2025-01-12,instagram,social,127,185,104,0.56,7,2012.52
2025-01-12,direct,(none),92,131,68,0.53,5,1304.99
2025-01-12,google,cpc,64,93,47,0.51,3,697.99
2025-01-13,google,cpc,88,105,54,0.52,2,462.56
2025-01-13,tiktok,social,67,100,69,0.7,2,586.43
2025-01-13,google,organic,152,191,110,0.58,6,1401.47
2025-01-13,direct,(none),28,38,24,0.65,1,278.18
2025-01-13,google,organic,174,214,118,0.55,8,2382.68
2025-01-13,instagram,social,32,39,26,0.68,1,293.8
2025-01-14,direct,(none),80,115,62,0.54,2,469.29
2025-01-14,instagram,social,35,42,22,0.54,0,0.0
2025-01-14,google,cpc,86,109,72,0.67,1,304.0
2025-01-14,google,organic,106,142,87,0.61,4,1048.57
2025-01-14,instagram,social,76,111,72,0.66,2,639.25
2025-01-14,tiktok,social,92,130,88,0.68,2,581.02
2025-01-14,google,organic,37,52,28,0.55,1,264.59
2025-01-14,google,organic,101,122,79,0.65,3,826.61
2025-01-14,email,newsletter,142,175,120,0.69,3,948.46
2025-01-15,google,cpc,144,210,107,0.51,6,1466.99
2025-01-15,direct,(none),25,35,20,0.58,0,0.0
2025-01-15,direct,(none),53,66,38,0.58,1,323.67
2025-01-15,google,organic,141,199,132,0.67,3,763.64
2025-01-15,instagram,social,28,38,24,0.64,1,262.59
2025-01-15,google,organic,146,197,137,0.7,3,686.76
2025-01-15,google,cpc,28,34,21,0.64,1,317.78
2025-01-16,email,newsletter,182,271,148,0.55,8,2390.61
2025-01-16,tiktok,social,96,122,79,0.65,4,1041.41
2025-01-16,tiktok,social,170,218,125,0.57,6,1527.92
2025-01-16,google,cpc,148,198,116,0.59,5,1321.78
2025-01-16,email,newsletter,130,161,111,0.69,4,1150.98
2025-01-16,google,organic,110,153,99,0.65,3,748.5
2025-01-16,tiktok,social,80,99,56,0.57,3,734.25
2025-01-16,direct,(none),174,236,147,0.63,5,1429.25
2025-01-16,google,cpc,158,212,126,0.59,7,1846.38
2025-01-17,email,newsletter,140,172,108,0.63,3,888.17
2025-01-17,tiktok,social,87,117,75,0.64,4,1259.17
2025-01-17,instagram,social,24,31,15,0.5,0,0.0
2025-01-17,tiktok,social,124,178,100,0.56,5,1478.93
2025-01-17,email,newsletter,120,164,102,0.63,3,768.15
2025-01-17,direct,(none),115,146,102,0.7,3,862.38
2025-01-17,tiktok,social,145,188,94,0.5,5,1314.5
2025-01-17,email,newsletter,85,109,72,0.67,2,641.55
2025-01-17,google,organic,63,94,63,0.67,2,534.45
2025-01-17,direct,(none),24,33,21,0.64,0,0.0
2025-01-18,direct,(none),195,238,172,0.73,15,2546.8
2025-01-18,direct,(none),93,131,92,0.7,8,1636.24
