date,promotion_name,discount_percent,is_weekend
2025-01-01,Self-Care Weekend Deal,14,False
2025-01-02,Self-Care Weekend Deal,13,False
2025-01-03,VIP Member Perk,5,False
2025-01-04,Glow Up Flash Sale,20,True
2025-01-05,Self-Care Weekend Deal,12,True
2025-01-06,VIP Member Perk,5,False
2025-01-07,Self-Care Weekend Deal,10,False
2025-01-08,Standard Collection,0,False
2025-01-09,Self-Care Weekend Deal,13,False
2025-01-10,VIP Member Perk,5,False
2025-01-11,Self-Care Weekend Deal,16,True
2025-01-12,Self-Care Weekend Deal,11,True
2025-01-13,VIP Member Perk,5,False
2025-01-14,Standard Collection,0,False
2025-01-15,Standard Collection,0,False
2025-01-16,VIP Member Perk,5,False
2025-01-17,Standard Collection,0,False
2025-01-18,Glow Up Flash Sale,28,True
2025-01-19,Self-Care Weekend Deal,18,True
2025-01-20,Self-Care Weekend Deal,11,False
2025-01-21,Self-Care Weekend Deal,13,False
2025-01-22,Self-Care Weekend Deal,19,False
2025-01-23,Standard Collection,0,False
2025-01-24,Standard Collection,0,False
2025-01-25,Self-Care Weekend Deal,18,True
2025-01-26,Self-Care Weekend Deal,10,True
2025-01-27,Self-Care Weekend Deal,15,False
2025-01-28,Self-Care Weekend Deal,15,False
2025-01-29,Standard Collection,0,False
2025-01-30,Standard Collection,0,False
2025-01-31,Standard Collection,0,False
2025-02-01,Self-Care Weekend Deal,13,True
2025-02-02,Self-Care Weekend Deal,18,True
2025-02-03,Standard Collection,0,False
2025-02-04,Standard Collection,0,False
2025-02-05,Glow Up Flash Sale,21,False
2025-02-06,Self-Care Weekend Deal,19,False
2025-02-07,Self-Care Weekend Deal,19,False
2025-02-08,Self-Care Weekend Deal,11,True
2025-02-09,Self-Care Weekend Deal,15,True
2025-02-10,Self-Care Weekend Deal,10,False
2025-02-11,VIP Member Perk,5,False
2025-02-12,Self-Care Weekend Deal,16,False
2025-02-13,Glow Up Flash Sale,21,False
2025-02-14,Standard Collection,0,False
2025-02-15,Self-Care Weekend Deal,12,True
2025-02-16,Self-Care Weekend Deal,18,True
2025-02-17,Standard Collection,0,False
2025-02-18,Standard Collection,0,False
2025-02-19,VIP Member Perk,5,False
2025-02-20,Glow Up Flash Sale,23,False
2025-02-21,Standard Collection,0,False
2025-02-22,Self-Care Weekend Deal,17,True
2025-02-23,Self-Care Weekend Deal,13,True
2025-02-24,Glow Up Flash Sale,28,False
2025-02-25,Glow Up Flash Sale,23,False
2025-02-26,Glow Up Flash Sale,27,False
2025-02-27,Standard Collection,0,False
2025-02-28,Standard Collection,0,False
2025-03-01,Self-Care Weekend Deal,14,True
2025-03-02,Self-Care Weekend Deal,12,True
2025-03-03,VIP Member Perk,5,False
2025-03-04,Glow Up Flash Sale,27,False
2025-03-05,Self-Care Weekend Deal,10,False
2025-03-06,Standard Collection,0,False
2025-03-07,Standard Collection,0,False
2025-03-08,Self-Care Weekend Deal,12,True
2025-03-09,Self-Care Weekend Deal,11,True
2025-03-10,VIP Member Perk,5,False
2025-03-11,Self-Care Weekend Deal,19,False
2025-03-12,VIP Member Perk,5,False
2025-03-13,Standard Collection,0,False
2025-03-14,Standard Collection,0,False
2025-03-15,Self-Care Weekend Deal,18,True
2025-03-16,Glow Up Flash Sale,20,True
2025-03-17,Self-Care Weekend Deal,11,False
2025-03-18,Self-Care Weekend Deal,13,False
2025-03-19,VIP Member Perk,5,False
2025-03-20,VIP Member Perk,5,False
2025-03-21,Standard Collection,0,False
2025-03-22,Self-Care Weekend Deal,17,True
2025-03-23,Self-Care Weekend Deal,11,True
2025-03-24,Self-Care Weekend Deal,13,False
2025-03-25,Standard Collection,0,False
2025-03-26,VIP Member Perk,5,False
2025-03-27,Self-Care Weekend Deal,18,False
2025-03-28,VIP Member Perk,5,False
2025-03-29,Self-Care Weekend Deal,14,True
2025-03-30,Self-Care Weekend Deal,15,True
2025-03-31,Self-Care Weekend Deal,10,False
2025-04-01,VIP Member Perk,5,False
2025-04-02,Standard Collection,0,False
2025-04-03,Standard Collection,0,False
2025-04-04,Glow Up Flash Sale,20,False
2025-04-05,Self-Care Weekend Deal,18,True
2025-04-06,Self-Care Weekend Deal,12,True
2025-04-07,Standard Collection,0,False
2025-04-08,Self-Care Weekend Deal,17,False
2025-04-09,Standard Collection,0,False
2025-04-10,VIP Member Perk,5,False
2025-04-11,Standard Collection,0,False
2025-04-12,Self-Care Weekend Deal,13,True
2025-04-13,Glow Up Flash Sale,23,True
2025-04-14,Standard Collection,0,False
2025-04-15,Self-Care Weekend Deal,11,False
2025-04-16,VIP Member Perk,5,False
2025-04-17,Self-Care Weekend Deal,15,False
2025-04-18,Standard Collection,0,False
2025-04-19,Self-Care Weekend Deal,14,True
2025-04-20,Self-Care Weekend Deal,15,True
2025-04-21,VIP Member Perk,5,False
2025-04-22,Standard Collection,0,False
2025-04-23,Standard Collection,0,False
2025-04-24,Standard Collection,0,False
2025-04-25,Standard Collection,0,False
2025-04-26,Self-Care Weekend Deal,14,True
2025-04-27,Self-Care Weekend Deal,19,True
2025-04-28,VIP Member Perk,5,False
2025-04-29,Standard Collection,0,False
2025-04-30,Standard Collection,0,False
2025-05-01,Standard Collection,0,False
2025-05-02,Self-Care Weekend Deal,10,False
2025-05-03,Self-Care Weekend Deal,12,True
2025-05-04,Self-Care Weekend Deal,14,True
2025-05-05,Self-Care Weekend Deal,12,False
2025-05-06,Standard Collection,0,False
2025-05-07,Standard Collection,0,False
2025-05-08,Standard Collection,0,False
2025-05-09,VIP Member Perk,5,False
2025-05-10,Self-Care Weekend Deal,12,True
2025-05-11,Self-Care Weekend Deal,15,True
2025-05-12,Standard Collection,0,False
2025-05-13,Standard Collection,0,False
2025-05-14,Self-Care Weekend Deal,12,False
2025-05-15,Standard Collection,0,False
2025-05-16,Self-Care Weekend Deal,16,False
2025-05-17,Self-Care Weekend Deal,13,True
2025-05-18,Self-Care Weekend Deal,18,True
2025-05-19,Standard Collection,0,False
2025-05-20,Standard Collection,0,False
2025-05-21,Standard Collection,0,False
2025-05-22,Self-Care Weekend Deal,10,False
2025-05-23,Glow Up Flash Sale,25,False
2025-05-24,Self-Care Weekend Deal,17,True
2025-05-25,Self-Care Weekend Deal,13,True
2025-05-26,Standard Collection,0,False
2025-05-27,Glow Up Flash Sale,21,False
2025-05-28,Glow Up Flash Sale,22,False
2025-05-29,Standard Collection,0,False
2025-05-30,Standard Collection,0,False
2025-05-31,Self-Care Weekend Deal,17,True
2025-06-01,Self-Care Weekend Deal,14,True
2025-06-02,Glow Up Flash Sale,20,False
2025-06-03,Standard Collection,0,False
2025-06-04,Standard Collection,0,False
2025-06-05,Standard Collection,0,False
2025-06-06,Standard Collection,0,False
2025-06-07,Self-Care Weekend Deal,14,True
2025-06-08,Self-Care Weekend Deal,19,True
2025-06-09,Self-Care Weekend Deal,15,False
2025-06-10,Self-Care Weekend Deal,15,False
2025-06-11,Standard Collection,0,False
2025-06-12,Standard Collection,0,False
2025-06-13,Self-Care Weekend Deal,13,False
2025-06-14,Self-Care Weekend Deal,16,True
2025-06-15,Self-Care Weekend Deal,16,True
2025-06-16,Standard Collection,0,False
2025-06-17,Self-Care Weekend Deal,18,False
2025-06-18,Standard Collection,0,False
2025-06-19,Glow Up Flash Sale,20,False
2025-06-20,Standard Collection,0,False
2025-06-21,Self-Care Weekend Deal,17,True
2025-06-22,Self-Care Weekend Deal,13,True
2025-06-23,Self-Care Weekend Deal,19,False
2025-06-24,Self-Care Weekend Deal,15,False
2025-06-25,Self-Care Weekend Deal,18,False
2025-06-26,Standard Collection,0,False
2025-06-27,Self-Care Weekend Deal,15,False
2025-06-28,Self-Care Weekend Deal,17,True
2025-06-29,Glow Up Flash Sale,26,True
2025-06-30,Standard Collection,0,False
2025-07-01,Self-Care Weekend Deal,12,False
2025-07-02,Standard Collection,0,False
2025-07-03,Self-Care Weekend Deal,17,False
2025-07-04,Self-Care Weekend Deal,18,False
2025-07-05,Self-Care Weekend Deal,15,True
2025-07-06,Glow Up Flash Sale,23,True
2025-07-07,Standard Collection,0,False
2025-07-08,Standard Collection,0,False
2025-07-09,Self-Care Weekend Deal,15,False
2025-07-10,Glow Up Flash Sale,27,False
2025-07-11,VIP Member Perk,5,False
2025-07-12,Self-Care Weekend Deal,18,True
2025-07-13,Self-Care Weekend Deal,18,True
2025-07-14,VIP Member Perk,5,False
2025-07-15,Self-Care Weekend Deal,11,False
2025-07-16,Standard Collection,0,False
2025-07-17,Standard Collection,0,False
2025-07-18,VIP Member Perk,5,False
2025-07-19,Self-Care Weekend Deal,18,True
2025-07-20,Self-Care Weekend Deal,14,True
2025-07-21,Self-Care Weekend Deal,15,False
2025-07-22,Standard Collection,0,False
2025-07-23,Self-Care Weekend Deal,15,False
2025-07-24,Self-Care Weekend Deal,11,False
2025-07-25,Self-Care Weekend Deal,10,False
2025-07-26,Self-Care Weekend Deal,12,True
2025-07-27,Self-Care Weekend Deal,18,True
2025-07-28,Self-Care Weekend Deal,12,False
2025-07-29,Standard Collection,0,False
2025-07-30,Standard Collection,0,False
2025-07-31,Standard Collection,0,False
2025-08-01,Standard Collection,0,False
2025-08-02,Self-Care Weekend Deal,10,True
2025-08-03,Self-Care Weekend Deal,16,True
2025-08-04,Self-Care Weekend Deal,10,False
2025-08-05,Self-Care Weekend Deal,10,False
2025-08-06,Standard Collection,0,False
2025-08-07,Standard Collection,0,False
2025-08-08,Self-Care Weekend Deal,16,False
2025-08-09,Self-Care Weekend Deal,16,True
2025-08-10,Self-Care Weekend Deal,11,True
2025-08-11,Standard Collection,0,False
2025-08-12,VIP Member Perk,5,False
2025-08-13,Glow Up Flash Sale,26,False
2025-08-14,Standard Collection,0,False
2025-08-15,Standard Collection,0,False
2025-08-16,Self-Care Weekend Deal,11,True
2025-08-17,Self-Care Weekend Deal,12,True
2025-08-18,Glow Up Flash Sale,23,False
2025-08-19,Standard Collection,0,False
2025-08-20,Self-Care Weekend Deal,10,False
2025-08-21,Standard Collection,0,False
2025-08-22,Standard Collection,0,False
2025-08-23,Self-Care Weekend Deal,15,True
2025-08-24,Self-Care Weekend Deal,15,True
2025-08-25,Self-Care Weekend Deal,15,False
2025-08-26,Standard Collection,0,False
2025-08-27,Standard Collection,0,False
2025-08-28,Standard Collection,0,False
2025-08-29,Self-Care Weekend Deal,13,False
